Frequency,Time
0.2,0.02
0.2,0.04
0.2,0.06
0.2,0.08
0.2,0.1
0.2,0.12
0.2,0.14
0.2,0.16
0.2,0.18
0.2,0.2
1,0.22
1,0.24
1,0.26
1,0.28
1,0.328
1,0.348
1,0.368
1,0.388
1,0.408
1,0.428
1,0.45
1,0.47
1,0.49
1,0.51
1,0.53
1,0.55
1,0.57
1,0.59
1,0.61
1,0.63
1,0.65
1,0.67
1,0.69
1,0.71
1,0.747
1,0.767
1,0.788
1,0.808
1,0.828
1,0.848
1,0.868
1,0.888
1,0.908
1,0.928
1,0.976
1,0.996
1,1.016
1,1.036
1,1.056
1,1.076
1,1.096
1,1.116
1,1.136
1,1.156
1,1.176
1,1.196
1,1.216
1,1.236
1,1.255
1,1.274
1,1.293
1,1.313
1,1.333
1,1.358
1,1.377
1,1.397
1,1.417
1,1.437
1,1.457
1,1.476
1,1.495
1,1.514
1,1.533
1,1.552
1,1.598
1,1.617
1,1.638
1,1.658
1,1.677
1,1.696
1,1.715
1,1.735
1,1.755
1,1.775
1,1.794
1,1.814
1,1.833
1,1.853
1,1.872
1,1.891
1,1.911
1,1.931
1,1.951
1,1.971
1,1.991
1,2.011
1,2.031
1,2.05
1,2.069
1,2.089
1,2.108
1,2.127
1,2.147
1,2.167
1,2.213
1,2.233
1,2.253
1,2.273
1,2.293
1,2.313
1,2.333
1,2.353
1,2.372
1,2.391
1,2.41
1,2.429
1,2.448
1,2.467
1,2.487
1,2.507
1,2.526
1,2.546
1,2.566
1,2.586
1,2.606
1,2.625
1,2.644
1,2.663
1,2.73
2,2.75
2,2.77
2,2.789
2,2.809
2,2.828
2,2.847
2,2.867
2,2.887
2,2.908
2,2.928
2,2.948
2,2.968
2,2.988
2,3.008
2,3.028
2,3.048
2,3.068
2,3.088
2,3.108
2,3.128
2,3.176
2,3.197
2,3.218
2,3.238
2,3.258
2,3.278
2,3.298
2,3.318
2,3.338
2,3.358
2,3.378
2,3.398
2,3.418
2,3.437
2,3.457
2,3.478
2,3.5
2,3.52
2,3.54
2,3.56
2,3.58
2,3.6
2,3.62
2,3.64
2,3.66
2,3.68
2,3.7
2,3.72
2,3.74
2,3.76
2,3.808
2,3.828
2,3.848
2,3.868
2,3.888
2,3.908
2,3.928
2,3.948
2,3.968
2,3.988
2,4.008
2,4.028
2,4.048
2,4.068
2,4.088
2,4.108
2,4.128
2,4.148
2,4.168
2,4.188
2,4.208
2,4.228
2,4.248
2,4.268
2,4.288
2,4.308
2,4.328
2,4.348
2,4.385
2,4.405
2,4.453
2,4.473
2,4.493
2,4.513
2,4.533
2,4.553
2,4.573
2,4.593
2,4.612
2,4.632
2,4.652
2,4.672
2,4.692
2,4.712
2,4.732
2,4.752
2,4.772
2,4.792
2,4.812
2,4.832
2,4.852
2,4.872
2,4.891
2,4.911
2,4.931
2,4.952
2,4.971
2,4.991
2,5.011
2,5.031
2,5.078
2,5.098
2,5.118
2,5.138
2,5.158
2,5.177
2,5.197
2,5.217
2,5.237
2,5.259
2,5.279
2,5.298
2,5.318
2,5.337
2,5.357
2,5.377
2,5.397
2,5.417
2,5.437
2,5.457
2,5.477
2,5.497
2,5.517
2,5.537
2,5.562
2,5.581
2,5.601
2,5.621
2,5.64
2,5.659
2,5.706
2,5.726
2,5.746
2,5.765
2,5.785
2,5.805
2,5.825
2,5.844
2,5.866
2,5.885
2,5.905
2,5.924
2,5.943
2,5.962
2,5.981
2,6.001
2,6.021
2,6.041
2,6.061
2,6.081
2,6.101
2,6.122
2,6.142
2,6.162
2,6.181
2,6.201
2,6.221
2,6.241
2,6.261
2,6.281
2,6.328
2,6.348
2,6.368
2,6.396
2,6.416
2,6.436
2,6.455
2,6.476
2,6.496
2,6.516
2,6.536
2,6.556
2,6.576
2,6.596
2,6.616
2,6.636
3,6.661
3,6.681
3,6.701
3,6.721
3,6.741
3,6.761
3,6.782
3,6.802
3,6.822
3,6.842
3,6.862
3,6.882
3,6.902
3,6.922
3,6.969
3,6.989
3,7.009
3,7.029
3,7.049
3,7.07
3,7.09
3,7.11
3,7.13
3,7.15
3,7.17
3,7.19
4,7.21
4,7.23
4,7.25
4,7.27
4,7.29
4,7.31
4,7.33
4,7.35
4,7.37
4,7.39
4,7.41
4,7.43
4,7.45
4,7.47
4,7.49
4,7.51
4,7.53
4,7.55
4,7.597
4,7.617
4,7.637
4,7.657
4,7.677
4,7.697
4,7.717
4,7.736
4,7.756
4,7.776
4,7.795
4,7.814
4,7.833
4,7.852
4,7.871
4,7.89
4,7.909
4,7.928
4,7.947
4,7.967
4,7.987
4,8.007
4,8.027
4,8.047
4,8.067
4,8.087
4,8.107
4,8.127
4,8.147
4,8.167
4,8.214
4,8.233
4,8.253
4,8.272
4,8.291
4,8.311
4,8.349
4,8.369
4,8.389
4,8.409
4,8.429
4,8.449
4,8.469
4,8.488
4,8.507
4,8.526
4,8.545
4,8.565
4,8.584
4,8.603
4,8.622
4,8.643
4,8.663
4,8.683
4,8.702
4,8.722
5,8.742
5,8.762
5,8.782
5,8.802
5,8.849
5,8.87
5,8.89
5,8.91
5,8.93
5,8.951
5,8.971
5,8.992
5,9.012
5,9.032
5,9.052
5,9.072
5,9.092
5,9.111
5,9.131
5,9.151
5,9.171
5,9.191
5,9.211
5,9.232
5,9.252
5,9.272
5,9.292
5,9.312
5,9.332
5,9.352
5,9.372
5,9.392
5,9.412
5,9.432
5,9.479
5,9.5
5,9.521
5,9.541
5,9.562
5,9.582
5,9.602
5,9.622
5,9.642
5,9.662
5,9.682
5,9.702
5,9.722
5,9.742
5,9.762
5,9.784
5,9.804
5,9.824
5,9.844
5,9.864
5,9.884
5,9.904
5,9.924
5,9.944
5,9.964
5,9.984
5,10.004
5,10.024
5,10.044
5,10.081
5,10.128
5,10.147
5,10.167
5,10.187
5,10.207
5,10.227
5,10.247
5,10.266
5,10.285
5,10.304
5,10.324
5,10.344
5,10.363
5,10.393
5,10.413
5,10.433
5,10.453
5,10.473
5,10.493
5,10.513
5,10.533
5,10.553
5,10.573
5,10.592
5,10.612
5,10.631
5,10.654
5,10.673
5,10.692
5,10.712
5,10.759
5,10.779
5,10.799
5,10.819
5,10.839
5,10.858
5,10.878
5,10.898
5,10.917
5,10.939
5,10.959
5,10.979
5,10.999
5,11.02
5,11.04
5,11.06
5,11.08
5,11.1
5,11.121
5,11.141
5,11.161
5,11.181
5,11.201
5,11.221
6,11.241
6,11.261
6,11.282
6,11.302
6,11.322
6,11.342
6,11.39
6,11.43
6,11.45
6,11.47
6,11.49
6,11.51
6,11.53
6,11.55
6,11.57
6,11.59
6,11.61
6,11.635
6,11.654
6,11.674
6,11.694
6,11.714
6,11.734
6,11.754
6,11.774
6,11.794
6,11.814
6,11.834
6,11.854
6,11.874
6,11.899
6,11.919
6,11.939
6,11.96
6,11.98
6,12
6,12.048
6,12.068
6,12.088
6,12.108
6,12.128
6,12.148
6,12.181
6,12.202
6,12.222
6,12.242
6,12.262
6,12.282
6,12.302
6,12.322
6,12.342
6,12.362
6,12.381
6,12.4
6,12.425
6,12.445
6,12.465
6,12.485
6,12.505
6,12.525
6,12.544
6,12.564
6,12.584
6,12.604
6,12.63
6,12.65
6,12.697
6,12.717
6,12.737
6,12.757
6,12.777
7,12.797
7,12.817
7,12.837
7,12.857
7,12.883
7,12.903
7,12.923
7,12.943
7,12.962
7,12.982
7,13.002
7,13.022
7,13.042
7,13.062
7,13.082
7,13.103
7,13.124
7,13.144
7,13.164
7,13.184
7,13.204
7,13.224
7,13.244
7,13.264
7,13.284
7,13.331
7,13.351
7,13.373
7,13.393
7,13.413
7,13.433
7,13.454
7,13.474
7,13.494
7,13.514
7,13.534
7,13.554
7,13.574
7,13.594
7,13.614
7,13.633
7,13.672
7,13.691
7,13.71
7,13.73
7,13.749
7,13.769
7,13.789
7,13.809
7,13.829
7,13.849
7,13.873
7,13.896
7,13.92
7,13.95
7,14.001
7,14.029
7,14.054
7,14.079
8,14.104
8,14.129
8,14.154
8,14.179
8,14.204
8,14.229
8,14.254
8,14.279
8,14.305
8,14.329
8,14.353
8,14.377
8,14.401
8,14.425
8,14.449
8,14.473
8,14.497
8,14.521
8,14.545
8,14.568
8,14.591
8,14.63
8,14.653
8,14.676
8,14.7
8,14.724
8,14.775
8,14.798
8,14.822
8,14.845
8,14.869
8,14.893
8,14.917
8,14.941
8,14.965
8,14.994
8,15.017
9,15.04
9,15.063
9,15.087
9,15.112
9,15.135
9,15.158
9,15.182
9,15.205
9,15.228
9,15.252
9,15.277
9,15.3
9,15.323
9,15.346
9,15.369
9,15.392
9,15.415
9,15.438
9,15.461
10,15.511
10,15.534
10,15.557
10,15.58
10,15.61
10,15.635
10,15.658
10,15.681
10,15.705
10,15.728
10,15.751
10,15.774
10,15.797
10,15.82
10,15.843
10,15.867
10,15.894
10,15.918
10,15.942
10,15.966
10,15.99
10,16.014
10,16.038
10,16.062
10,16.085
10,16.109
10,16.133
10,16.157
10,16.183
10,16.209
11,16.261
11,16.285
11,16.308
11,16.331
11,16.355
11,16.379
11,16.403
11,16.426
11,16.449
11,16.473
11,16.498
11,16.523
11,16.547
11,16.571
11,16.595
11,16.618
11,16.642
11,16.665
11,16.69
11,16.714
11,16.738
11,16.761
11,16.787
11,16.812
11,16.835
11,16.858
11,16.881
11,16.904
11,16.927
11,16.95
11,17
11,17.023
11,17.046
11,17.069
11,17.102
11,17.125
11,17.148
11,17.171
11,17.194
12,17.217
12,17.24
12,17.263
12,17.286
12,17.309
12,17.332
12,17.367
12,17.396
12,17.419
12,17.443
12,17.467
12,17.492
12,17.516
12,17.54
12,17.564
12,17.588
12,17.612
12,17.636
12,17.665
12,17.688
12,17.711
12,17.762
12,17.786
12,17.809
12,17.833
12,17.856
12,17.879
12,17.903
12,17.926
12,17.949
12,17.973
12,17.997
12,18.02
12,18.043
12,18.066
12,18.089
12,18.113
12,18.137
12,18.161
12,18.185
12,18.211
12,18.235
12,18.259
12,18.285
12,18.309
12,18.333
12,18.357
12,18.381
12,18.404
12,18.428
13,18.452
13,18.503
13,18.527
13,18.556
13,18.581
13,18.605
14,18.628
14,18.651
14,18.675
14,18.698
14,18.721
14,18.744
14,18.767
14,18.79
14,18.813
14,18.837
14,18.86
14,18.883
14,18.907
14,18.931
14,18.955
14,18.979
14,19.003
14,19.027
14,19.051
14,19.093
14,19.117
14,19.146
14,19.17
14,19.193
14,19.217
14,19.267
14,19.29
14,19.314
14,19.337
14,19.36
15,19.384
15,19.407
15,19.43
15,19.46
15,19.483
15,19.506
15,19.529
15,19.553
15,19.576
15,19.599
15,19.623
15,19.646
15,19.669
15,19.692
15,19.735
15,19.759
15,19.783
15,19.806
15,19.829
15,19.853
15,19.876
15,19.923
15,19.946
15,19.969
15,19.993
15,20.052
15,20.075
15,20.098
15,20.121
15,20.144
16,20.167
16,20.19
16,20.214
16,20.238
16,20.261
16,20.285
16,20.318
16,20.347
16,20.37
16,20.393
16,20.416
16,20.439
16,20.462
16,20.485
16,20.508
16,20.532
16,20.565
16,20.593
16,20.616
16,20.639
16,20.662
16,20.685
16,20.708
16,20.733
16,20.756
16,20.806
16,20.829
16,20.853
16,20.886
16,20.914
16,20.937
16,20.96
16,20.983
16,21.006
16,21.029
16,21.052
16,21.075
16,21.098
16,21.121
17,21.145
17,21.175
17,21.198
17,21.221
17,21.244
17,21.267
17,21.29
17,21.313
17,21.337
17,21.36
17,21.383
17,21.406
17,21.432
17,21.455
17,21.478
17,21.501
17,21.552
17,21.575
17,21.598
17,21.621
17,21.644
17,21.667
18,21.691
18,21.714
18,21.737
18,21.76
18,21.783
18,21.806
18,21.829
18,21.852
18,21.894
18,21.917
18,21.94
18,21.963
18,21.987
18,22.01
18,22.033
18,22.056
18,22.079
18,22.102
19,22.144
19,22.167
19,22.19
19,22.213
19,22.236
19,22.27
19,22.325
19,22.348
19,22.371
19,22.394
19,22.418
19,22.441
19,22.464
19,22.487
19,22.51
19,22.533
19,22.556
19,22.579
19,22.617
19,22.64
19,22.663
19,22.686
19,22.709
19,22.732
19,22.756
19,22.779
19,22.803
19,22.826
19,22.849
19,22.873
19,22.912
19,22.935
19,22.958
19,22.981
19,23.004
19,23.027
19,23.077
19,23.1
19,23.123
19,23.146
19,23.171
20,23.218
20,23.241
20,23.265
20,23.288
20,23.311
20,23.335
20,23.358
20,23.381
20,23.404
20,23.428
20,23.451
20,23.474
20,23.497
20,23.52
20,23.543
20,23.566
20,23.589
20,23.612
20,23.635
20,23.659
20,23.682
20,23.722
20,23.751
21,23.775
21,23.798
21,23.848
21,23.871
21,23.894
21,23.917
21,23.941
21,23.965
21,23.988
21,24.011
21,24.052
21,24.075
21,24.098
21,24.121
21,24.145
21,24.168
21,24.191
22,24.215
22,24.238
22,24.261
22,24.295
22,24.318
22,24.341
22,24.364
22,24.387
22,24.41
22,24.471
22,24.494
22,24.517
22,24.54
22,24.563
22,24.587
22,24.642
22,24.665
22,24.688
22,24.711
22,24.734
22,24.757
22,24.78
22,24.803
22,24.827
22,24.85
23,24.874
23,24.904
23,24.927
23,24.95
23,24.973
23,24.996
23,25.019
23,25.042
23,25.065
23,25.088
23,25.111
23,25.134
23,25.157
23,25.182
23,25.205
23,25.228
23,25.251
23,25.274
23,25.297
23,25.32
23,25.37
23,25.393
23,25.416
23,25.439
23,25.473
23,25.502
23,25.525
23,25.548
23,25.571
23,25.594
23,25.617
23,25.641
24,25.665
24,25.688
24,25.711
24,25.735
24,25.764
24,25.787
24,25.81
24,25.833
24,25.856
24,25.88
24,25.903
24,25.927
24,25.951
24,25.974
24,25.997
24,26.022
24,26.051
24,26.074
24,26.124
24,26.147
24,26.17
24,26.193
24,26.216
24,26.239
24,26.262
24,26.285
24,26.308
24,26.331
24,26.36
24,26.383
24,26.406
24,26.429
25,26.452
25,26.475
25,26.499
25,26.523
25,26.547
25,26.571
25,26.595
25,26.618
25,26.643
25,26.672
25,26.695
25,26.718
26,26.741
26,26.764
26,26.787
26,26.81
26,26.86
26,26.883
26,26.906
26,26.929
26,26.962
26,26.991
26,27.014
26,27.037
26,27.06
26,27.083
26,27.106
26,27.129
26,27.152
26,27.175
26,27.2
26,27.223
26,27.248
26,27.277
26,27.3
26,27.323
26,27.346
26,27.37
26,27.393
26,27.416
26,27.439
26,27.462
26,27.485
27,27.508
27,27.532
27,27.562
27,27.613
27,27.637
27,27.66
27,27.684
27,27.707
27,27.731
27,27.755
27,27.778
27,27.801
27,27.825
27,27.85
27,27.879
27,27.902
27,27.924
27,27.947
27,27.97
27,27.994
27,28.018
27,28.042
27,28.066
27,28.09
27,28.115
27,28.144
27,28.167
27,28.19
27,28.213
27,28.237
28,28.261
28,28.284
28,28.308
28,28.358
28,28.381
28,28.405
28,28.428
28,28.458
28,28.481
28,28.504
28,28.527
29,28.55
29,28.573
29,28.596
29,28.619
29,28.642
29,28.665
29,28.688
29,28.717
29,28.74
29,28.763
29,28.789
30,28.812
30,28.838
30,28.861
30,28.884
30,28.907
30,28.93
30,28.953
30,28.976
30,29
30,29.029
30,29.053
30,29.104
30,29.128
30,29.152
30,29.175
30,29.199
30,29.223
30,29.247
30,29.271
30,29.295
30,29.328
30,29.352
30,29.376
30,29.399
30,29.423
30,29.447
30,29.471
30,29.495
30,29.518
31,29.542
31,29.567
31,29.591
31,29.615
31,29.66
31,29.684
31,29.708
31,29.732
31,29.756
31,29.78
31,29.804
31,29.828
31,29.879
31,29.902
31,29.925
31,29.958
31,29.981
31,30.004
32,30.027
32,30.049
32,30.072
32,30.095
32,30.118
32,30.141
32,30.165
33,30.188
33,30.214
33,30.242
33,30.265
33,30.288
33,30.311
33,30.334
33,30.357
33,30.381
33,30.404
33,30.427
33,30.45
33,30.473
33,30.496
33,30.519
33,30.546
33,30.574
33,30.624
33,30.647
33,30.67
33,30.693
33,30.716
34,30.739
34,30.762
34,30.785
34,30.808
34,30.831
34,30.854
34,30.877
34,30.9
34,30.923
34,30.947
34,30.97
34,30.993
34,31.017
34,31.041
34,31.065
34,31.088
34,31.111
34,31.134
34,31.159
34,31.183
34,31.207
34,31.231
34,31.255
34,31.279
35,31.303
35,31.354
35,31.378
35,31.402
35,31.426
35,31.45
35,31.474
35,31.498
35,31.532
35,31.555
35,31.578
35,31.601
35,31.624
35,31.647
35,31.671
35,31.694
35,31.717
35,31.74
35,31.763
35,31.786
35,31.809
35,31.835
35,31.863
35,31.886
35,31.909
35,31.932
35,31.956
35,31.979
35,32.002
35,32.025
35,32.048
36,32.098
36,32.121
36,32.144
36,32.167
36,32.195
37,32.224
37,32.247
37,32.27
37,32.293
37,32.316
37,32.339
37,32.362
37,32.385
37,32.408
37,32.431
37,32.454
37,32.477
37,32.5
37,32.526
37,32.554
37,32.577
37,32.6
37,32.623
37,32.646
37,32.669
38,32.692
38,32.715
38,32.738
38,32.761
38,32.784
38,32.835
38,32.859
38,32.902
38,32.926
38,32.95
38,32.974
38,32.998
38,33.021
38,33.044
38,33.067
38,33.09
38,33.113
38,33.136
38,33.159
38,33.187
38,33.216
38,33.239
39,33.263
39,33.286
39,33.309
39,33.332
39,33.355
39,33.378
39,33.401
39,33.424
39,33.447
39,33.47
39,33.493
39,33.531
39,33.559
39,33.609
39,33.633
39,33.656
39,33.679
39,33.703
39,33.726
39,33.749
39,33.772
39,33.795
39,33.818
39,33.841
39,33.864
40,33.899
40,33.922
40,33.945
40,33.968
40,33.991
40,34.015
40,34.038
40,34.061
40,34.084
40,34.107
40,34.131
40,34.155
40,34.178
41,34.201
41,34.228
41,34.251
41,34.274
41,34.298
41,34.351
41,34.376
41,34.399
41,34.423
41,34.446
41,34.469
41,34.493
41,34.516
41,34.539
41,34.562
41,34.6
41,34.623
41,34.646
41,34.669
41,34.692
41,34.715
41,34.738
41,34.761
42,34.784
42,34.807
42,34.83
42,34.853
42,34.876
42,34.904
42,34.933
42,34.956
42,34.979
43,35.002
43,35.025
43,35.048
43,35.098
43,35.121
43,35.145
43,35.17
43,35.194
43,35.217
43,35.241
43,35.265
43,35.288
43,35.311
43,35.334
43,35.357
43,35.38
43,35.403
43,35.426
43,35.449
43,35.472
43,35.495
43,35.518
43,35.541
43,35.564
44,35.618
44,35.641
44,35.664
44,35.687
44,35.71
44,35.733
44,35.756
44,35.779
44,35.802
44,35.851
44,35.874
44,35.897
44,35.92
44,35.943
44,36.012
44,36.035
44,36.058
44,36.081
44,36.104
44,36.127
44,36.15
44,36.173
44,36.196
44,36.295
44,36.318
44,36.341
44,36.364
44,36.387
45,36.457
45,36.481
45,36.505
45,36.528
45,36.551
45,36.575
45,36.598
45,36.622
45,36.645
45,36.668
45,36.691
45,36.742
45,36.765
45,36.788
45,36.815
45,36.838
45,36.861
46,36.888
46,36.918
46,36.941
46,36.964
46,36.987
46,37.01
46,37.033
46,37.056
46,37.08
46,37.103
46,37.127
46,37.198
46,37.221
46,37.245
46,37.269
46,37.293
46,37.317
46,37.341
46,37.365
46,37.388
46,37.411
46,37.435
46,37.458
46,37.481
46,37.531
46,37.555
46,37.579
47,37.603
47,37.626
47,37.649
47,37.673
47,37.697
47,37.724
47,37.752
47,37.775
47,37.798
47,37.821
47,37.845
48,37.886
48,37.909
48,37.933
48,37.956
48,38.003
48,38.027
48,38.051
48,38.075
48,38.099
48,38.123
48,38.146
48,38.169
48,38.193
48,38.217
49,38.307
49,38.331
49,38.382
50,38.405
50,38.428
50,38.451
50,38.474
50,38.498
50,38.521
50,38.545
50,38.568
50,38.591
50,38.617
50,38.649
50,38.672
50,38.695
50,38.718
50,38.741
50,38.765
50,38.789
50,38.813
50,38.837
50,38.861
50,38.885
50,38.908
50,38.931
50,38.954
50,38.981
50,39.005
50,39.028
50,39.052
50,39.075
